Name,Revenue_2022,Revenue(% change)_2022,Profits in millions_2022,Market value_2022,Employees_2022,Revenue_2021,Revenue(% change)_2021,Profits in millions_2021,Market value_2021,Employees_2021,Sector,City,State,Ceo_woman
EPAM Systems,3758.1,41.3,481.7,16870.7,"58,824",2659.5,0.159,327.2,22285.8,41168,Technology,Newtown,PA,no
M/I Homes,3745.9,23.0,396.9,1262.2,"1,657",3046.1,0.218,239.9,1719.5,1515,Engineering & Construction,Columbus,OH,no
Generac Holdings,3737.2,50.4,550.5,18960.3,"9,248",2485.2,0.127,350.6,20584.0,6625,Industrials,Waukesha,WI,no
Mettler-Toledo International,3717.9,20.5,769.0,31220.3,"16,700",3085.2,0.025,602.7,26951.7,15700,Technology,Columbus,OH,no
Abercrombie & Fitch,3712.8,18.8,263.0,1619.5,"19,250",3125.4,-0.137,-114.0,2131.1,20550,Retailing,New Albany,OH,yes
Teradyne,3702.9,18.6,1014.6,19202.6,"5,900",3121.5,0.36,784.1,20267.6,5500,Technology,North Reading,MA,no
American Equity Investment Life Holding,3689.5,52.2,474.0,3869.2,850,2424.6,-0.3,671.5,3009.0,656,Financials,West Des Moines,IA,no
Southwest Gas Holdings,3680.5,11.6,200.8,5233.6,"12,720",3298.9,0.057,232.3,3935.9,11149,Energy,Las Vegas,NV,yes
Pitney Bowes,3673.6,3.4,-1.4,900.1,"11,500",3554.1,0.022,-181.5,1431.0,11500,Technology,Stamford,CT,no
Lamb Weston Holdings,3670.9,-3.2,317.8,8699.1,"7,800",3792.4,0.01,365.9,11339.6,7700,"Food, Beverages & Tobacco",Eagle,ID,no
Alliant Energy,3669.0,7.4,659.0,15670.6,"3,313",3416.0,-0.064,614.0,13533.6,3375,Energy,Madison,WI,no
Resolute Forest Products,3664.0,30.9,307.0,991.7,"6,900",2800.0,-0.042,10.0,884.9,7100,Materials,Calhoun,TN,no
Parsons,3660.8,-6.6,64.1,4012.0,"15,500",3918.9,-0.009,98.5,4139.5,15500,Aerospace & Defense,Centreville,VA,yes
Trimble,3659.1,16.2,492.7,18122.7,"11,931",3147.7,-0.036,389.9,19551.9,11402,Technology,Sunnyvale,CA,no
OGE Energy,3653.7,72.2,737.3,8164.2,"2,185",2122.3,-0.049,-173.7,6472.7,2360,Energy,Oklahoma City,OK,no
Winnebago Industries,3629.8,54.1,281.9,1770.9,"6,532",2355.5,0.186,61.4,2577.5,5505,Motor Vehicles & Parts,Eden Prairie,MN,no
Ciena,3620.7,2.5,500.2,9223.4,"7,205",3532.2,-0.011,361.3,8481.8,7032,Technology,Hanover,MD,no
PriceSmart,3619.9,8.7,98.0,2434.1,"10,400",3329.2,0.033,78.1,2973.9,9500,Retailing,San Diego,CA,yes
Advantage Solutions,3602.3,14.2,54.5,2029.6,"45,000",3155.7,-0.166,-162.4,3760.9,40000,Business Services,Irvine,CA,yes
