"Company","Revenue_2021","Revenue%change_2021","Profits_in_millions_2021","Market_value_2021","Employees_2021","Revenue_2022","Revenue%change_2022","Profits_in_millions_2022","Market_value_2022","Employees_2022","Sector","City","State","Ceo_woman","lat","long"
"AutoNation","20390","-0.044","381.6","7683.2",21600,"25844","26.7","1373","6111.4",22200,"Retailing","Fort Lauderdale","FL","no","26.122308400000000","-80.143378600000000"
"Penske Automotive Group","20443.9","-0.118","543.6","6485.5",23600,"25554.7","25","1187.8","7196.7",24797,"Retailing","Bloomfield Hills","MI","no","42.583645000000000","-83.245488300000000"
"Macy's","18097","-0.286","-3944","5028.1",75711,"25292","39.8","1430","7123.2",88857,"Retailing","New York","NY","no","40.712728100000000","-74.006015200000000"
"Duke Energy","23453","-0.049","1377","74252.5",27535,"24677","5.2","3908","85967",27605,"Energy","Charlotte","NC","yes","35.227208600000000","-80.843082700000000"
"United Airlines Holdings","15355","-0.645","-7069","18325.1",74400,"24634","60.4","-1964","15049.7",84100,"Transportation","Chicago","IL","no","41.875561600000000","-87.624421200000000"
"Visa","21846","-0.049","10866","452525.4",20500,"24105","10.3","12311","480022.5",21500,"Business Services","San Francisco","CA","no","37.779026200000000","-122.419906000000000"
"Rite Aid","21928.4","0.012","-452.2","1129.9",39920,"24043.4","9.6","-90.9","488.1",50000,"Food & Drug Stores","Camp Hill","PA","yes","40.239811800000000","-76.919974200000000"
"Cummins","19811","-0.16","1789","37971.1",57825,"24021","21.3","2131","29140.9",59900,"Industrials","Columbus","IN","yes","39.201440500000000","-85.921379600000000"
"U.S. Bancorp","25241","-0.076","4959","83107.4",68108,"23714","-6","7963","78929.8",68796,"Financials","Minneapolis","MN","no","44.977299500000000","-93.265469200000000"
"Paccar","18728.5","-0.268","1298.4","32255.8",26000,"23522.3","25.6","1852.1","30619.7",28500,"Motor Vehicles & Parts","Bellevue","WA","no","47.614421900000000","-122.192337000000000"
"McDonald's","19207.8","-0.089","4730.5","167112.5",200000,"23222.9","20.9","7545.2","183873.6",200000,"Hotels, Restaurants & Leisure","Chicago","IL","no","41.875561600000000","-87.624421200000000"
"Southern","20375","-0.049","3119","65678.9",27700,"23113","13.4","2393","76877",27164,"Energy","Atlanta","GA","no","33.748992400000000","-84.390264400000000"
"C.H. Robinson Worldwide","16207.1","0.059","506.4","12514.9",14888,"23102.1","42.5","844.2","13855.8",16877,"Transportation","Eden Prairie","MN","no","44.854685600000000","-93.470786000000000"
"Truist Financial","24427","0.666","4482","78408.5",53638,"23064","-5.6","6440","75353.9",51462,"Financials","Charlotte","NC","no","35.227208600000000","-80.843082700000000"
"Applied Materials","17202","0.178","3619","122599.5",24000,"23063","34.1","5888","116431.4",27000,"Technology","Santa Clara","CA","no","37.354113200000000","-121.955174000000000"
"Freeport-McMoRan","14198","-0.014","599","48027.8",24500,"22845","60.9","4306","72360.8",24700,"Energy","Phoenix","AZ","no","33.448436700000000","-112.074141000000000"
"Lithia Motors","13124.3","0.036","470.3","10467",14538,"22831.7","74","1060","8909.8",21150,"Retailing","Medford","OR","no","42.326418100000000","-122.871860500000000"
"Hartford Financial Services Group","20523","-0.01","1737","23863.3",18500,"22390","9.1","2365","23815.6",18100,"Financials","Hartford","CT","no","41.764582000000000","-72.690854700000000"
"Aflac","22147","-0.007","4778","35191.4",12003,"22106","-0.2","4325","41812.8",12447,"Financials","Columbus","GA","no","32.461070800000000","-84.988044900000000"
"Whirlpool","19456","-0.047","1081","13831.7",78000,"21985","13","1783","10101.2",69000,"Industrials","Benton Harbor","MI","no","42.116706500000000","-86.454189400000000"
"Union Pacific","19533","-0.1","5349","146948.3",30960,"21804","11.6","6523","171681.6",32124,"Transportation","Omaha","NE","no","41.258745900000000","-95.938375800000000"
"International Paper","20580","-0.08","482","21240.6",49300,"21780","5.8","1752","17301.1",38200,"Materials","Memphis","TN","no","35.146024900000000","-90.051763800000000"
"Altria Group","20841","0.053","4467","95090.6",7100,"21111","1.3","2475","94951.7",6000,"Food, Beverages & Tobacco","Richmond","VA","no","37.538508700000000","-77.434280000000000"
"CDW","18467.5","0.024","788.5","23291.8",10000,"20820.8","12.7","988.6","24140.2",13900,"Technology","Lincolnshire","IL","yes","42.190024900000000","-87.908403900000000"
"ManpowerGroup","18001","-0.137","23.8","5434.2",25000,"20724.4","15.1","382.4","5025.6",30000,"Business Services","Milwaukee","WI","no","43.034993100000000","-87.922497000000000"
