Company,Revenue_2022,Revenue%change_2022,Profits_in_millions_2022,Market_value_2022,Employees_2022
Lam Research,14626.2,45.6,3908.5,74996.7,14100
Illinois Tool Works,14455.0,15.0,2694.0,65311.9,45000
Parker-Hannifin,14347.6,4.8,1746.1,36456.8,54640
Omnicom Group,14289.4,8.5,1407.8,17565.7,71700
Principal Financial,14262.7,-3.2,1710.6,19176.7,18600
Dominion Energy,14218.0,-11.8,3288.0,68883.0,17100
Kellogg,14181.0,3.0,1488.0,21890.2,31000
Fluor,14156.8,-10.9,-440.2,4051.7,40582
AECOM,14112.4,-13.9,173.2,10856.5,51000
Reliance Steel & Aluminum,14093.3,59.9,1413.0,11313.5,13950
Jacobs Engineering Group,14092.6,3.8,477.0,17807.4,53500
Corning,14082.0,24.6,1906.0,31212.8,61200
Qurate Retail,14044.0,-0.9,340.0,1807.4,26745
PulteGroup,13926.9,26.2,1946.3,10115.7,6182
Fidelity National Information Services,13877.0,10.6,417.0,61215.1,65000
IQVIA Holdings,13874.0,22.1,966.0,44140.8,79000
Marriott International,13857.0,31.1,1099.0,57514.9,120000
Berry Global Group,13850.0,18.3,733.0,7832.4,47000
Ball,13811.0,17.2,878.0,28909.1,24300
Group 1 Automotive,13801.7,27.2,552.1,2859.9,13711
Leidos Holdings,13737.0,11.7,753.0,14727.7,43000
Wayfair,13708.0,-3.1,-131.0,11641.6,16681
Consolidated Edison,13676.0,11.7,1346.0,33525.3,13871
Ameriprise Financial,13443.0,12.4,2760.0,33213.0,12000
O'Reilly Automotive,13327.6,14.8,2164.7,45410.4,76158
Global Partners,13248.3,59.2,60.8,927.1,2960
Discover Financial Services,13221.0,2.1,5449.0,31076.7,16700
Rocket Companies,13175.6,-17.6,308.2,21905.9,26000
LKQ,13088.5,12.6,1090.9,12941.4,46000
W.W. Grainger,13022.0,10.4,1043.0,26358.0,23450
Quanta Services,12980.2,15.9,486.0,18779.5,43700
Crown Holdings,12979.0,12.1,-560.0,15460.6,26000
Fox,12909.0,4.9,2150.0,21423.2,9000
Markel,12846.4,32.0,2425.0,20037.5,20300
Carvana,12814.0,129.4,-135.0,19549.5,21000
XPO Logistics,12806.0,-21.2,336.0,8356.9,44700
Baxter International,12784.0,9.5,1284.0,39017.9,60000
Ecolab,12733.1,-0.1,1129.9,50548.4,47000
Tractor Supply,12731.1,19.9,997.1,26171.6,34000
Andersons,12728.8,55.1,104.0,1708.2,2334
Keurig Dr Pepper,12683.0,9.2,2146.0,53748.2,27500
Universal Health Services,12642.1,9.4,991.6,10843.1,78850
CSX,12522.0,18.3,3781.0,81587.8,20919
Henry Schein,12401.0,22.6,631.2,11960.1,21600
Sonic Automotive,12396.4,26.9,348.9,1728.8,10200
eBay,12394.0,9.2,13608.0,33641.9,10800
Textron,12382.0,6.3,746.0,16090.6,33000
Community Health Systems,12368.0,4.9,230.0,1598.6,58500
Mosaic,12357.4,42.3,1630.6,24492.6,12525
Thor Industries,12317.4,50.8,659.9,4330.9,31000
Dick's Sporting Goods,12293.4,28.3,1519.9,7986.6,34300
Newmont,12222.0,6.3,1166.0,62968.1,14400
Devon Energy,12206.0,139.8,2813.0,39274.1,1600
J.B. Hunt Transport Services,12168.3,26.3,760.8,21052.9,33045
Alcoa,12152.0,30.9,429.0,16603.4,12200
Aramark,12096.0,-5.7,-90.8,9655.5,248300
Vistra,12077.0,5.5,-1274.0,10434.7,5060
State Street,12030.0,-0.4,2693.0,31891.8,38784
Unum Group,12013.8,-8.7,824.2,6382.8,10200
Alleghany,12004.1,34.9,1034.9,11396.1,13313
Boston Scientific,11888.0,19.9,1041.0,63310.2,41000
Entergy,11742.9,16.1,1118.5,23760.4,12369
International Flavors & Fragrances,11656.0,129.3,270.0,33455.6,24000
DaVita,11618.8,0.6,978.5,10892.5,69000
Assurant,11410.0,13.0,1372.4,10493.1,15600
Liberty Media,11400.0,21.8,398.0,15239.1,6886
Hormel Foods,11386.2,18.5,908.8,28089.2,20000
Icahn Enterprises,11328.0,85.0,-518.0,15237.1,19536
Republic Services,11295.0,11.2,1290.4,41841.7,35000
Mohawk Industries,11200.6,17.3,1033.2,8081.8,43000
Conagra Brands,11184.7,1.2,1298.8,16103.5,18600
Norfolk Southern,11142.0,13.8,3005.0,68389.3,18100
AES,11141.0,15.3,-409.0,17172.1,8450
AGCO,11138.3,21.7,897.0,10885.3,23300
Caesars Entertainment,11110.0,219.8,-1019.0,16564.6,49000
Equitable Holdings,11036.0,-11.1,-439.0,12041.2,10000
Advance Auto Parts,10998.0,8.8,616.1,12644.8,54500
Biogen,10981.7,-18.3,1556.1,30950.4,9610
Booking Holdings,10958.0,61.2,1165.0,96022.7,20199
Amphenol,10876.3,26.5,1590.8,45130.1,90000
Quest Diagnostics,10788.0,14.3,1995.0,16348.6,44500
FirstEnergy,10758.0,3.1,1283.0,26181.6,12395
DCP Midstream,10707.0,69.9,391.0,6993.2,1788
Ally Financial,10690.0,-0.8,3060.0,14411.6,10500
Delek US Holdings,10648.2,45.8,-203.5,1500.2,3312
Williams,10627.0,37.7,1517.0,40670.4,4783
Newell Brands,10589.0,12.8,572.0,8902.4,32000
Eastman Chemical,10476.0,23.6,857.0,14450.1,14000
Air Products & Chemicals,10323.0,16.6,2099.1,55409.4,20750
Molson Coors Beverage,10279.7,6.5,1005.7,11631.8,16300
Interpublic Group,10240.7,13.0,952.8,13965.9,55600
Weyerhaeuser,10201.0,35.4,2607.0,28315.0,9214
Altice USA,10090.8,2.0,990.3,5674.1,9000
Raymond James Financial,9910.0,21.3,1403.0,22817.5,15000
EMCOR Group,9903.6,12.6,383.5,5931.8,34000
Eversource Energy,9863.1,10.8,1220.5,30403.2,9227
Yum China Holdings,9853.0,19.2,990.0,17679.0,298500
Asbury Automotive Group,9837.7,37.9,532.4,3714.8,14200
Owens & Minor,9785.3,12.4,221.6,3375.6,17300
Public Service Enterprise Group,9722.0,1.2,-648.0,35145.5,12684
United Rentals,9716.0,13.9,1386.0,25643.3,20400
MGM Resorts International,9680.1,87.5,1254.4,18257.9,60500
Ryder System,9663.0,14.8,519.0,4055.4,42800
Intuit,9633.0,25.4,2062.0,135987.6,17350
Cincinnati Financial,9629.7,27.8,2945.6,21813.3,5166
Univar Solutions,9535.5,15.4,460.6,5459.8,9450
Huntington Ingalls Industries,9524.0,1.7,544.0,7991.0,44000
W.R. Berkley,9455.5,16.7,1022.5,17658.8,7681
Insight Enterprises,9436.1,13.1,219.3,3745.1,11624
News Corp.,9358.0,3.9,330.0,13127.7,24000
American Tower,9356.9,16.4,2567.7,114527.4,6378
Old Republic International,9341.6,30.4,1534.3,7972.8,9600
Burlington Stores,9322.3,61.7,408.8,12112.8,38599
Avis Budget Group,9313.0,72.4,1285.0,14157.0,18500
ODP,9267.0,-4.6,-208.0,2222.2,26000
VF,9238.8,-21.0,407.9,22112.9,33600
Bed Bath & Beyond,9233.0,-17.3,-150.8,2170.5,37600
Seaboard,9229.0,29.5,570.0,4881.6,13200
First American Financial,9221.0,30.1,1241.0,7087.2,22233
Intercontinental Exchange,9168.0,11.2,4058.0,74044.8,8858
PVH,9154.7,28.4,952.3,5210.0,25000
Apollo Global Management,9124.0,332.2,1838.5,37194.0,2153
Jefferies Financial Group,9039.9,30.0,1674.4,7933.9,5556
Hershey,8971.3,10.1,1477.5,44461.5,17805
NVR,8970.1,18.6,1236.7,15010.5,6600
Foot Locker,8958.0,18.7,893.0,2850.0,33244
Dana,8945.0,25.9,197.0,2544.4,40200
SpartanNash,8931.0,-4.5,73.8,1185.1,13300
Olin,8910.6,54.8,1296.7,8062.0,7750
Chewy,8890.8,24.4,-73.8,17147.3,21300
Activision Blizzard,8803.0,8.9,2699.0,62559.7,9800
Toll Brothers,8790.4,24.2,833.6,5515.4,5100
Carlyle Group,8782.1,199.3,2974.7,17427.5,1850
Ovintiv,8658.0,42.2,1416.0,13987.5,1713
UFP Industries,8636.1,67.6,535.6,4790.5,15000
Ulta Beauty,8630.9,40.3,985.8,20837.8,28500
Constellation Brands,8614.9,3.3,1998.0,43763.5,9300
Expedia Group,8598.0,65.4,12.0,30476.5,14800
CommScope Holding,8586.7,1.8,-462.6,1629.7,30000
Celanese,8537.0,51.0,1890.0,15434.1,8529
Global Payments,8523.8,14.8,965.5,38545.6,25000
Owens Corning,8498.0,20.5,995.0,9064.7,20000
Campbell Soup,8476.0,-6.3,1002.0,13446.9,14100
Huntsman,8453.0,40.3,1045.0,8046.9,9000
Franklin Resources,8425.5,51.4,1831.2,14019.3,10300
Avery Dennison,8408.3,20.6,740.1,14327.4,36000
Masco,8375.0,14.9,410.0,12062.7,20000
CenterPoint Energy,8352.0,-5.5,1486.0,19285.8,9418
Fifth Third Bancorp,8329.0,-0.9,2770.0,29511.3,19112
WEC Energy Group,8316.0,14.8,1300.3,31483.5,6938
S&P Global,8297.0,11.5,3024.0,142343.5,22850
Polaris,8252.0,16.1,493.9,6264.1,16000
Williams-Sonoma,8245.9,21.6,1126.3,10376.0,16600
Autoliv,8230.0,10.5,435.0,6691.1,58176
Arthur J. Gallagher,8209.4,17.2,906.8,36598.6,39000
Motorola Solutions,8171.0,10.2,1245.0,40555.9,18700
Zillow Group,8147.4,143.9,-527.8,12287.1,8005
Opendoor Technologies,8021.0,210.5,-662.0,5364.1,2816
J.M. Smucker,8002.7,2.6,876.3,14686.4,7100
Realogy Holdings,7983.0,28.3,343.0,1852.1,9748
Oshkosh,7952.5,16.0,409.4,6703.7,15000
MasTec,7951.8,25.8,328.8,6657.0,27000
APA,7928.0,84.0,973.0,14332.3,2253
Boise Cascade,7926.1,44.8,712.5,2740.4,6130
Dover,7907.1,18.3,1123.8,22610.3,25000
Genworth Financial,7882.0,-9.0,904.0,1917.9,2500
Bath & Body Works,7881.5,-33.5,1333.5,11419.9,32850
Booz Allen Hamilton Holding,7858.9,5.3,609.0,11705.4,27700
Zimmer Biomet Holdings,7836.2,11.6,401.6,26772.3,19500
Westinghouse Air Brake Technologies,7822.0,3.5,558.0,17819.4,25000
Zoetis,7776.0,16.5,2037.0,89008.9,12100
Packaging Corp. of America,7730.3,16.1,841.1,14628.1,15200
LPL Financial Holdings,7720.8,31.5,459.9,14608.8,5919
T. Rowe Price,7671.9,23.6,3082.9,34442.6,7529
Fortune Brands Home & Security,7656.1,25.7,772.4,9830.7,28056
Casey's General Stores,7654.2,-5.6,312.9,7354.4,27583
A-Mark Precious Metals,7613.0,39.4,159.6,890.5,347
Hess,7583.0,57.8,559.0,33155.2,1545
Vertex Pharmaceuticals,7574.4,22.1,2342.1,66436.9,3900
KeyCorp,7561.0,3.1,2625.0,20592.5,16974
Chipotle Mexican Grill,7547.1,26.1,653.0,44347.4,97660
CMS Energy,7538.0,12.8,1353.0,20292.2,8813
Taylor Morrison Home,7501.3,22.4,663.0,3301.6,3000
American Financial Group,7462.0,-5.7,1995.0,12367.8,6600
UGI,7447.0,13.5,1467.0,7599.1,11300
Science Applications International,7394.0,4.8,277.0,5166.1,25090
Avantor,7386.1,15.5,572.6,20629.1,13500
Hanesbrands,7347.8,10.3,77.2,5191.4,58000
Clorox,7341.0,9.2,710.0,17108.7,9000
KBR,7339.0,27.3,18.0,7634.9,28000
TravelCenters of America,7336.8,51.4,58.5,637.5,16540
Hertz Global Holdings,7336.0,39.5,366.0,9508.9,23000
Analog Devices,7318.3,30.6,1390.4,86441.2,24700
Darden Restaurants,7196.1,-7.8,629.3,16980.9,156883
Graphic Packaging Holding,7156.0,9.1,204.0,6154.4,25000
NCR,7156.0,15.3,97.0,5474.7,38000
Brighthouse Financial,7142.0,-16.0,-108.0,3958.7,1500
PPL,7127.0,-6.3,-1480.0,21001.9,5607
Cintas,7116.3,0.4,1111.0,43566.7,40000
Xerox Holdings,7038.0,0.2,-455.0,3123.3,23300
Rockwell Automation,6997.4,10.5,1358.1,32538.4,24500
Citizens Financial Group,6986.0,-9.0,2319.0,19135.7,17463
KLA,6918.7,19.2,2078.3,55170.9,11425
Camping World Holdings,6913.8,26.9,278.5,2664.6,12834
Ingredion,6894.0,15.1,117.0,5814.2,12000
Veritiv,6850.5,8.0,144.6,2008.0,6100
Beacon Roofing Supply,6820.4,-1.8,243.0,4175.9,6676
Diamondback Energy,6797.0,141.6,2182.0,24320.0,870
Academy Sports and Outdoors,6773.1,19.1,671.4,3433.5,16508
Sanmina,6756.6,-2.9,269.0,2569.0,33500
ON Semiconductor,6739.8,28.3,1009.6,27078.7,31650
Commercial Metals,6729.8,22.9,412.9,5056.7,11089
EnLink Midstream,6685.9,71.7,22.4,4670.6,1073
Southwestern Energy,6667.0,188.9,-25.0,7989.7,938
Equinix,6635.5,10.6,500.2,67280.5,10944
