company,sector,city,state,ceo_woman
Taylor Morrison Home,Engineering & Construction,Scottsdale,AZ,yes
American Financial Group,Financials,Cincinnati,OH,no
UGI,Energy,King of Prussia,PA,no
Science Applications International,Technology,Reston,VA,yes
Avantor,Technology,Radnor,PA,no
Hanesbrands,Apparel,Winston-Salem,NC,no
Clorox,Household Products,Oakland,CA,yes
KBR,Engineering & Construction,Houston,TX,no
TravelCenters of America,Retailing,Westlake,OH,no
Hertz Global Holdings,Retailing,Estero,FL,no
Analog Devices,Technology,Wilmington,MA,no
Securian Financial Group,Financials,St. Paul,MN,no
Darden Restaurants,"Hotels, Restaurants & Leisure",Orlando,FL,no
NCR,Technology,Atlanta,GA,no
Graphic Packaging Holding,Materials,Atlanta,GA,no
Brighthouse Financial,Financials,Charlotte,NC,no
PPL,Energy,Allentown,PA,no
Cintas,Business Services,Cincinnati,OH,no
Xerox Holdings,Technology,Norwalk,CT,no
Rockwell Automation,Industrials,Milwaukee,WI,no
Citizens Financial Group,Financials,Providence,RI,no
KLA,Technology,Milpitas,CA,no
Camping World Holdings,Retailing,Lincolnshire,IL,no
Ingredion,"Food, Beverages & Tobacco",Westchester,IL,no
Veritiv,Wholesalers,Atlanta,GA,no
Beacon Roofing Supply,Wholesalers,Herndon,VA,no
Diamondback Energy,Energy,Midland,TX,no
Victoria's Secret,Retailing,Reynoldsburg,OH,no
Academy Sports and Outdoors,Retailing,Katy,TX,no
Sanmina,Technology,San Jose,CA,no
ON Semiconductor,Technology,Phoenix,AZ,no
Commercial Metals,Materials,Irving,TX,yes
EnLink Midstream,Energy,Dallas,TX,no
Southwestern Energy,Energy,Spring,TX,no
Equinix,Financials,Redwood City,CA,no
Dillard&#8217;s,Retailing,Little Rock,AR,no
Regions Financial,Financials,Birmingham,AL,no
Yum Brands,"Hotels, Restaurants & Leisure",Louisville,KY,no
Landstar System,Transportation,Jacksonville,FL,no
CF Industries Holdings,Chemicals,Deerfield,IL,no
Northern Trust,Financials,Chicago,IL,no
Robert Half International,Business Services,Menlo Park,CA,no
Compass,Technology,New York,NY,no
Hasbro,Household Products,Pawtucket,RI,no
Roper Technologies,Technology,Sarasota,FL,no
ARKO,Retailing,Richmond,VA,no
Frontier Communications,Telecommunications,Norwalk,CT,no
Ameren,Energy,St. Louis,MO,no
O-I Glass,Materials,Perrysburg,OH,no
Chemours,Chemicals,Wilmington,DE,no
Crown Castle International,Financials,Houston,TX,no
Agilent Technologies,Technology,Santa Clara,CA,no
McCormick,"Food, Beverages & Tobacco",Hunt Valley,MD,no
Skechers U.S.A.,Apparel,Manhattan Beach,CA,no
Watsco,Wholesalers,Miami,FL,no
Live Nation Entertainment,Media,Beverly Hills,CA,no
Lululemon athletica,Retailing,Sumner,WA,no
ABM Industries,Business Services,New York,NY,no
Post Holdings,"Food, Beverages & Tobacco",St. Louis,MO,no
Moody's,Business Services,New York,NY,no
Select Medical Holdings,Health Care,Mechanicsburg,PA,no
Alaska Air Group,Transportation,Seattle,WA,no
Big Lots,Retailing,Columbus,OH,no
Amkor Technology,Technology,Tempe,AZ,no
Sinclair Broadcast Group,Media,Hunt Valley,MD,no
RPM International,Chemicals,Medina,OH,no
M&T Bank,Financials,Buffalo,NY,no
Sprouts Farmers Market,Food & Drug Stores,Phoenix,AZ,no
Huntington Bancshares,Financials,Columbus,OH,no
CACI International,Technology,Reston,VA,no
JetBlue Airways,Transportation,Long Island City,NY,no
SVB Financial Group,Financials,Santa Clara,CA,no
Fastenal,Wholesalers,Winona,MN,no
GameStop,Retailing,Grapevine,TX,no
Knight-Swift Transportation Holdings,Transportation,Phoenix,AZ,no
Airbnb,Technology,San Francisco,CA,no
Patterson,Health Care,St. Paul,MN,no
PENN Entertainment,"Hotels, Restaurants & Leisure",Wyomissing,PA,no
ServiceNow,Technology,Santa Clara,CA,no
Nasdaq,Financials,New York,NY,yes
Brunswick,Transportation,Mettawa,IL,no
Resideo Technologies,Materials,Scottsdale,AZ,no
Chesapeake Energy,Energy,Oklahoma City,OK,no
Petco Health and Wellness,Retailing,San Diego,CA,no
Kemper,Financials,Chicago,IL,no
Hilton Worldwide Holdings,"Hotels, Restaurants & Leisure",McLean,VA,no
Cerner,Health Care,North Kansas City,MO,no
Levi Strauss,Apparel,San Francisco,CA,no
Tapestry,Apparel,New York,NY,yes
NetApp,Technology,San Jose,CA,no
KB Home,Engineering & Construction,Los Angeles,CA,no
Continental Resources,Energy,Oklahoma City,OK,no
Intuitive Surgical,Health Care,Sunnyvale,CA,no
Under Armour,Apparel,Baltimore,MD,no
MDU Resources Group,Energy,Bismarck,ND,no
Silgan Holdings,Materials,Stamford,CT,no
Ryerson Holding,Materials,Chicago,IL,no
Ingersoll Rand,Industrials,Davidson,NC,no
Hologic,Health Care,Marlborough,MA,no
Electronic Arts,Media,Redwood City,CA,no
Zebra Technologies,Industrials,Lincolnshire,IL,no
Coty,Household Products,New York,NY,yes
Schneider National,Transportation,Green Bay,WI,no
Sonoco Products,Materials,Hartsville,SC,no
Concentrix,Technology,Fremont,CA,no
Evergy,Energy,Kansas City,MO,no
Cornerstone Building Brands,Materials,Cary,NC,yes
Coca-Cola Consolidated,"Food, Beverages & Tobacco",Charlotte,NC,no
Greif,Materials,Delaware,OH,no
Vulcan Materials,Materials,Birmingham,AL,no
Ametek,Technology,Berwyn,PA,no
Monster Beverage,"Food, Beverages & Tobacco",Corona,CA,no
Sealed Air,Materials,Charlotte,NC,no
NOV,Energy,Houston,TX,no
Las Vegas Sands,"Hotels, Restaurants & Leisure",Las Vegas,NV,no
Martin Marietta Materials,Materials,Raleigh,NC,no
Marathon Oil,Energy,Houston,TX,no
Mattel,Household Products,El Segundo,CA,no
Microchip Technology,Technology,Chandler,AZ,no
Harley-Davidson,Transportation,Milwaukee,WI,no
Telephone & Data Systems,Telecommunications,Chicago,IL,no
ADT,Business Services,Boca Raton,FL,no
First Republic Bank,Financials,San Francisco,CA,no
Warner Music Group,Media,New York,NY,no
Pool,Wholesalers,Covington,LA,no
Old Dominion Freight Line,Transportation,Thomasville,NC,no
Fortive,Industrials,Everett,WA,no
