Name,Revenue_2021,Revenue(% change)_2021,Profits in millions_2021,Market value_2021,Employees_2021
Yum China Holdings,8263.0,-0.058,784.0,24892.3,271000
Asbury Automotive Group,7131.8,-0.011,254.4,3798.1,7750
Owens & Minor,8706.9,-0.098,29.9,2763.0,18800
Public Service Enterprise Group,9603.0,-0.047,1905.0,30411.7,12788
United Rentals,8530.0,-0.088,890.0,23819.0,18250
MGM Resorts International,5162.1,-0.6,-1032.7,18805.2,48500
Ryder System,8420.1,-0.057,-122.3,4072.0,39000
Intuit,7679.0,0.132,1826.0,104897.1,11950
Cincinnati Financial,7536.3,-0.049,1216.4,16601.6,5266
Univar Solutions,8265.0,-0.125,52.9,3650.6,9457
Huntington Ingalls Industries,9361.0,0.052,696.0,8295.7,42000
W.R. Berkley,8098.9,0.025,530.7,13364.2,7495
Insight Enterprises,8340.6,0.079,172.6,3349.5,11006
News Corp.,9008.0,-0.106,-1269.0,14628.8,23500
American Tower,8041.5,0.061,1690.6,106234.5,5618
Old Republic International,7166.0,-0.007,558.6,6650.3,9000
Burlington Stores,5764.0,-0.209,-216.5,19835.9,35246
Avis Budget Group,5402.0,-0.411,-684.0,5067.6,17500
ODP,9710.0,-0.088,-319.0,2317.1,37000
VF,11688.1,-0.157,679.4,31305.8,48000
Bed Bath & Beyond,11158.6,-0.072,-613.8,3533.4,55000
Seaboard,7126.0,0.042,283.0,4283.3,13100
First American Financial,7086.7,0.143,696.4,6216.5,19597
Intercontinental Exchange,8244.0,0.259,2089.0,62843.7,8890
PVH,7132.6,-0.28,-1136.1,7522.7,26500
Apollo Global Management,2110.9,-0.329,156.6,10904.7,1729
Jefferies Financial Group,6955.9,0.298,775.2,7524.6,4945
Hershey,8149.7,0.02,1278.7,32765.3,16040
NVR,7566.0,0.019,901.2,17318.0,6100
Foot Locker,7548.0,-0.057,323.0,5809.4,33522
Dana,7106.0,-0.176,-31.0,3529.4,38200
SpartanNash,9348.5,0.095,75.9,709.3,14400
Olin,5758.0,-0.058,-969.9,6024.1,8000
